id,ra,dec,ex,ey,ez,gama,e_class,rmag,rabsmag,redshift,rad,sern,pos,ba,g_class
2103,184.70642,0.6874600000000001,0.45951000000000003,0.43626000000000004,0.77365,12,0,18.7936,-19.7514,0.11039500000000001,2.05703,1.0688,-27.5633,0.3836,0
2254,185.12521,0.71411,0.96478,-0.11459000000000001,0.23681,12,0,18.8188,-20.0219,0.12528,4.96903,1.3915,-12.724,0.7658,0
2498,211.96528999999998,0.82529,0.8356600000000001,0.23095,0.49833,15,0,19.2957,-20.2241,0.166852,2.52772,1.1234,-82.1332,0.4118,0
2521,211.94654,0.8023600000000001,-0.43027,-0.73461,0.5246,15,0,19.6796,-20.2881,0.200942,2.87129,0.4535,-8.5773,0.8619,1
2579,212.18917000000002,0.73733,0.44926000000000005,-0.019880000000000002,0.89318,15,0,19.3067,-20.3495,0.176617,2.80079,0.6721,79.738,0.8077,1
2583,212.19662000000002,0.77253,0.46643999999999997,-0.02175,0.8842899999999999,15,0,19.5916,-20.0704,0.177047,4.44992,1.447,-22.7551,0.3934,0
2647,212.52007999999998,0.8239,0.81114,0.02384,0.58437,15,0,19.3682,-19.8964,0.149918,3.47212,1.0845,-56.6,0.1958,0
2748,212.80912,0.6514800000000001,-0.07316,0.19688,0.97769,15,0,18.7519,-20.2823,0.136011,3.4241699999999997,1.0072,66.6915,0.5313,0
2868,213.13228999999998,0.64394,0.37142,0.2883,0.8825700000000001,15,0,19.4389,-19.7648,0.14611500000000002,2.71605,0.5702,52.2199,0.5493,0
2958,213.80057999999997,0.64779,-0.87584,-0.47468,0.08707000000000001,15,0,19.2935,-19.5787,0.126967,2.64647,0.9166,-89.6416,0.2893,0
2972,213.81117000000003,0.82836,-0.919,-0.21325999999999998,0.3316,15,0,19.6148,-20.1593,0.18548599999999998,3.52445,0.4356,-61.148,0.6278,1
2977,213.768,0.71096,0.60888,0.55609,0.56571,15,0,19.6919,-19.9983,0.179141,3.78818,0.9559,89.22,0.6675,1
3021,214.09207999999998,0.8024,-0.07203,0.46691000000000005,0.8813700000000001,15,0,18.518,-20.3136,0.12478900000000001,3.5640400000000003,1.1586,-60.2454,0.4546,0
3050,214.18792000000002,0.7861100000000001,-0.29814,0.48503999999999997,0.8221,15,0,19.5341,-19.2918,0.12448800000000002,2.1983200000000003,0.446,-25.9896,0.4405,0
3051,214.19696000000002,0.77913,0.70007,0.14837,0.6984899999999999,15,0,18.6354,-20.2329,0.12675899999999998,2.43304,1.6662,32.0534,0.8871,0
3055,214.22307999999998,0.81297,-0.30701999999999996,0.48478000000000004,0.81898,15,0,18.6995,-20.1243,0.124377,2.07819,1.6757,38.8568,0.5399,0
3125,214.42212,0.66642,-0.39056,0.52068,0.75918,15,0,18.3925,-20.2408,0.11465499999999999,2.76627,1.6769,39.8812,0.738,0
3164,214.58683,0.8306100000000001,-0.3325,0.35336,0.87441,15,0,19.5034,-20.1106,0.173541,1.80405,1.8094,-65.5631,0.5423,1
3204,214.73075,0.69279,0.43768,0.74998,0.49596,15,0,19.1657,-20.4528,0.17387,1.9018,1.3934,38.8231,0.3271,1
3216,214.86425,0.73421,-0.56217,-0.5284800000000001,0.6361399999999999,15,0,18.8008,-20.1345,0.130421,3.4433,0.0554,42.3715,0.1547,0
3234,214.95575,0.79673,-0.29491,0.19807,0.9347700000000001,15,0,19.4098,-20.1905,0.17255399999999999,3.04271,0.5095,44.9201,0.7218,1
3242,215.05237000000002,0.77757,0.9898399999999999,0.11357,0.0856,15,0,18.7177,-19.6801,0.103625,2.10269,1.8221,62.9717,0.3339,0
3251,215.0875,0.69118,0.57533,-0.37006,0.72942,15,0,19.1763,-19.699,0.127134,3.6306199999999995,0.9203,52.0693,0.347,0
3340,215.44887000000003,0.74032,0.06617,0.27714,0.95855,15,0,19.5406,-19.6596,0.145903,2.74532,0.5195,-44.9448,0.7346,0
3364,215.53921,0.68567,-0.6886,0.61259,-0.38804,15,0,19.6238,-19.6678,0.151627,2.55734,0.7789,-66.2064,0.358,0
3437,215.79137999999998,0.72746,0.07926,0.49262,0.8666299999999999,15,0,19.1224,-20.0511,0.144266,3.50464,1.2176,-4.4651,0.5278,0
3528,216.24513,0.63559,-0.41618999999999995,-0.6147600000000001,0.66997,15,0,19.3201,-19.6633,0.133109,7.36005,1.3635,-61.0905,0.2976,0
3559,216.49492,0.7770100000000001,0.0965,-0.75668,0.64662,15,0,19.0121,-19.8365,0.125698,4.5548,0.8326,-59.699,0.2329,0
3645,216.74558,0.7490100000000001,0.006809999999999999,-0.80409,0.5944699999999999,15,0,19.1745,-19.6786,0.125944,2.94055,0.9283,-64.115,0.5293,0
3746,217.04828999999998,0.82511,-0.03941,0.52409,0.85075,15,0,19.7956,-19.0549,0.125798,2.05395,1.8045,42.0236,0.7501,0
3816,217.20446,0.68921,-0.20065999999999998,0.38677,0.9000799999999999,15,0,19.3364,-19.5875,0.12978900000000002,4.35436,1.5203,-74.9638,0.5683,0
4167,218.34446,0.83883,-0.90966,0.40492,0.09253,15,0,19.8526,-18.8962,0.12046,3.6386199999999995,0.8608,-57.2804,0.8381,0
4173,218.31042000000002,0.71016,-0.90966,0.40492,0.09253,15,0,18.6833,-20.0657,0.12047100000000001,2.42801,1.3509,-74.3456,0.4019,0
4182,218.38867000000002,0.6354,0.62154,-0.7729600000000001,0.12734,15,0,18.3548,-20.3742,0.119449,3.25665,1.7731,-8.5762,0.7016,0
4332,218.92879,0.7320399999999999,0.82044,0.39565,0.41272,15,0,19.4145,-19.1139,0.10961099999999999,4.6615400000000005,0.9857,44.8414,0.314,0
4334,218.95367000000002,0.73014,-0.22864,-0.25217,0.9402799999999999,15,0,18.9118,-19.8253,0.119859,4.13345,0.9211,2.6341,0.673,0
4390,219.26507999999998,0.70468,-0.47542,0.17924,0.86131,15,0,18.8479,-20.1996,0.136776,3.24556,0.8853,22.6161,0.6385,0
4430,219.44475,0.77125,-0.40601,0.32699,0.8533700000000001,15,0,18.8677,-20.1728,0.136372,2.63503,0.9995,-54.3226,0.5986,0
4515,219.74032999999997,0.6702899999999999,-0.27868000000000004,0.95944,0.04263,15,0,19.3344,-19.7279,0.137638,2.47922,0.5693,33.308,0.4143,0
4520,219.79871,0.69329,-0.99608,-0.07522000000000001,-0.04664,15,0,19.3005,-20.3986,0.179798,2.44635,0.8382,29.8016,0.61,1
4760,221.12867000000003,0.78783,0.51986,0.02918,0.85375,15,0,19.1841,-20.4868,0.1777,4.01486,0.8136,-27.8768,0.6641,1
4819,221.52342000000002,0.65168,-0.28083,0.9374299999999999,0.2058,15,0,19.3779,-19.3997,0.121952,4.113119999999999,1.1777,52.9417,0.1745,0
4851,221.61675,0.73837,-0.2511,0.6416,0.72478,15,0,19.181,-20.4129,0.172096,4.39761,0.8249,29.0289,0.3105,0
4908,221.93725,0.75498,-0.19737000000000002,0.92594,0.32199,15,0,18.8218,-19.9514,0.121723,2.23224,1.2949,-14.2539,0.2509,0
5330,174.84496000000001,1.07605,0.27687,0.35424,0.89323,12,0,19.765,-18.7812,0.110451,4.03447,1.1237,-70.5743,0.6441,0
5348,174.95954,1.19482,-0.50167,0.06516,0.8626,12,0,18.6431,-19.8055,0.10591500000000001,3.8729699999999996,1.3047,-68.7668,0.2933,0
5403,175.26792,1.05774,0.6544800000000001,0.52991,0.5393,12,0,19.2228,-19.3187,0.11023,2.20716,1.8338,33.9205,0.4564,0
5404,175.28367,1.19346,-0.77108,0.048589999999999994,0.63489,12,0,18.5171,-20.4995,0.134999,3.35773,0.9386,-39.7954,0.2898,0
5594,176.43283,1.10313,-0.7360800000000001,-0.17887,0.65284,12,0,18.6374,-19.8732,0.108774,3.58275,1.3638,63.0034,0.4267,0
5629,176.67242,1.2365700000000002,0.9741200000000001,0.07982,0.21145999999999998,12,0,19.4829,-18.999,0.10744100000000001,4.032369999999999,1.1693,-64.2166,0.8593,0
5839,177.53996,1.15967,-0.5753199999999999,-0.7955399999999999,0.19007000000000002,12,0,19.4181,-20.4964,0.19658499999999998,3.6093800000000003,0.84,-83.4981,0.5506,1
5848,177.59986999999998,1.0917700000000001,0.37916,-0.57303,0.72655,12,0,18.9338,-20.4573,0.158099,3.042,1.1271,70.3491,0.879,1
5867,177.67375,1.0514700000000001,0.36025999999999997,0.93086,0.06093,12,0,19.516,-20.0619,0.170945,3.41831,0.6379,-16.5841,0.3982,0
5912,177.92933,1.07895,0.8527399999999999,-0.10008,0.51266,12,0,18.8624,-20.069,0.130204,3.68705,1.0689,31.7802,0.3375,0
6065,178.60996,1.20108,-0.54977,0.29235,0.7824800000000001,12,0,19.796,-19.2844,0.138701,2.33638,0.9206,-56.7074,0.4858,0
6410,180.05625,1.17666,-0.16857,0.9293299999999999,0.32852,12,0,19.4875,-20.4896,0.201719,2.96305,1.5698,-12.422,0.5197,1
6549,180.67571,1.12805,-0.8104399999999999,0.1276,0.57175,12,0,19.5178,-19.971,0.164702,3.2690200000000003,0.7677,-44.2637,0.7711,1
6554,180.70946,1.06311,-0.81348,0.14021,0.5644399999999999,12,0,19.1875,-20.3002,0.164622,3.7225900000000003,0.7224,77.6692,0.8676,1
6650,181.09,1.2075,0.6902,-0.67699,0.25558000000000003,12,0,18.8908,-20.0919,0.133072,2.34191,1.1613,24.0012,0.7545,0
6696,181.18028999999999,1.2160799999999998,-0.9322299999999999,-0.35186999999999996,0.08448,12,0,19.8102,-19.1619,0.132471,3.10988,0.776,31.3798,0.2431,0
6853,181.86453999999998,1.19403,-0.5413899999999999,0.12516,0.8314,12,0,19.1412,-19.4682,0.11348499999999999,3.8119099999999997,1.4965,2.919,0.6228,0
7016,182.62475,1.2445700000000002,-0.36849,0.43218999999999996,0.82306,12,0,19.773,-19.6348,0.15921400000000002,3.59335,0.6735,13.7808,0.6748,0
7062,182.90083,1.20546,-0.17893,-0.9715799999999999,0.15496,12,0,19.6764,-18.8688,0.11040499999999999,2.07088,0.7231,-42.1766,0.375,0
7072,182.85708,1.20446,-0.49896,0.72218,0.47906000000000004,12,0,19.2677,-19.6382,0.128797,3.10982,1.46,36.886,0.6781,0
7108,182.88978999999998,1.23349,-0.49896,0.72218,0.47906000000000004,12,0,19.4903,-19.4178,0.128917,3.7883699999999996,0.9983,-38.682,0.5145,0
7302,183.84179,1.18129,-0.07427,0.45103000000000004,0.88941,12,0,19.2046,-19.6301,0.124956,3.8264,0.7842,35.3669,0.825,0
7514,184.95758,1.2176200000000001,0.55085,0.59112,0.58919,12,0,19.2767,-19.0644,0.101121,3.6126699999999996,1.2769,21.909,0.7146,0
7570,185.19562,1.15296,-0.5413899999999999,-0.4925,0.68143,12,0,19.5674,-20.4907,0.208554,2.21866,1.2083,29.6174,0.4433,1
7575,185.12971000000002,1.1749399999999999,0.30756999999999995,0.13796,0.94147,12,0,19.5401,-19.0643,0.11324400000000001,3.50009,0.7405,23.2061,0.858,0
7625,185.28304,1.1145,-0.33955,-0.29166,0.8942200000000001,12,0,19.6676,-20.1479,0.188701,7.35884,0.6318,26.907,0.3117,0
7833,212.20279,1.0887,-0.48931,0.71536,0.49883,15,0,19.2678,-19.3522,0.114001,3.9703,0.8368,81.4736,0.1754,0
7870,212.75128999999998,1.08863,0.20415,-0.18227000000000002,0.9618200000000001,15,0,19.4581,-20.2643,0.18155,3.01344,0.5701,-79.0479,0.587,1
7874,212.88546000000002,1.0570899999999999,0.5374800000000001,0.60273,0.58977,15,0,18.8329,-20.3597,0.14543699999999998,3.1636599999999997,1.3981,-31.3576,0.4361,0
7890,212.93346,1.05754,-0.12013,0.16994,0.97811,15,0,19.1824,-19.6251,0.123517,3.5653,0.6059,-76.4589,0.8225,0
7969,214.59275,1.05424,-0.06215,0.35673,0.93214,15,0,19.7343,-19.0378,0.12166700000000001,2.99923,1.0051,70.3498,0.45,0
